Y_vals,mask_id,Stain,X_vals,file_name,DJID,Eye,eGFP_Value,eGFP_Raw_Intensity,in_rip
<<<<<<< Updated upstream
"3751, 4661, 5315, 6412, 7209, 8695, 10866, 14031, 18141, 20827, 26681, 33708, 46534, 55971, 67180, 75281, 83091, 86290, 90182, 89756, 85347, 75080, 65559, 55407, 48126, 37507, 32570, 24201, 23100, 17780, 14895, 12310, 10721, 9590, 9053, 8432, 7843, 7712, 6818, 6574, 6237, 6456, 6233, 6095, 6282",1,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,False,0.6964601769911505,False
"318, 343, 401, 395, 551, 679, 802, 1256, 1904, 2264, 2878, 3355, 4001, 3911, 3474, 3105, 2666, 2404, 2361, 2333, 2452, 2793, 3492, 3979, 4433, 4932, 5235, 5859, 5979, 5960, 6167, 6108, 6326, 6215, 6104, 6254, 6172, 6344, 6686, 6878, 7150, 7453, 7686, 8161, 8322",1,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,False,0.6964601769911505,False
"12172, 17385, 21508, 30542, 40600, 57843, 87488, 132077, 179715, 199891, 211172, 196222, 150508, 119327, 95824, 75752, 62156, 53160, 45585, 42506, 42960, 49582, 57873, 67162, 78249, 88793, 92079, 100313, 99484, 99414, 95500, 90871, 84393, 79107, 74087, 70054, 63597, 60055, 55914, 52688, 50590, 46272, 42587, 40408, 39363",1,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,False,0.6964601769911505,False
"1263, 1966, 2227, 3352, 4363, 6310, 9002, 13026, 16662, 18162, 19930, 20300, 19842, 19036, 17761, 16244, 14738, 14499, 14609, 16496, 19060, 23915, 27422, 30087, 31448, 31733, 30873, 27265, 26581, 22193, 18180, 15209, 12198, 10937, 9186, 8444, 7348, 6674, 6079, 5290, 4768, 4394, 3741, 3626, 3377",1,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,False,0.6964601769911505,False
"5187, 5846, 6538, 7720, 9219, 10671, 13400, 17404, 22111, 25648, 31484, 38462, 48528, 56673, 63601, 69406, 73989, 77363, 78366, 76729, 72607, 62506, 54173, 46011, 39207, 31727, 27509, 20651, 19855, 16033, 13830, 12414, 10960, 9947, 9394, 9234, 8808, 8873, 8339, 8156, 8000, 8168, 7901, 8111, 7621",5,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,True,49.77383863080684,False
"4009, 5020, 5938, 7774, 9524, 11890, 16350, 23757, 35797, 44487, 61499, 81841, 115706, 138395, 159143, 174813, 186332, 196319, 203575, 208541, 210985, 205758, 197378, 183961, 165909, 140430, 123175, 88670, 82829, 58316, 44369, 36277, 27840, 25059, 22111, 21192, 19103, 18282, 17108, 16540, 15961, 15347, 15263, 14946, 14823",5,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,True,49.77383863080684,False
"17803, 25491, 31460, 44812, 60541, 90533, 150623, 243447, 304828, 311840, 291458, 245989, 190637, 169176, 155281, 148215, 146022, 145929, 146788, 148313, 152254, 156172, 159724, 163059, 165304, 167999, 168655, 166983, 163605, 157396, 146674, 137047, 122949, 112069, 101478, 95578, 86829, 80307, 74204, 69385, 64835, 59458, 55214, 52802, 51541",5,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,True,49.77383863080684,False
"4747, 7127, 8761, 12440, 16651, 23900, 36605, 57890, 80959, 93605, 107098, 113575, 113558, 108725, 101296, 94299, 88979, 84420, 81380, 79740, 78195, 77555, 75952, 72662, 68825, 61930, 57401, 47688, 45829, 37207, 30883, 26469, 21627, 19007, 16498, 15151, 12942, 12073, 10937, 9998, 8904, 8048, 6761, 6676, 6003",5,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,True,49.77383863080684,False
"3364, 4091, 4905, 5582, 6657, 7916, 9522, 12797, 16509, 18657, 22912, 27842, 36656, 42467, 47587, 53484, 57372, 61104, 64090, 65388, 64843, 62245, 59900, 55033, 50315, 44045, 40774, 33365, 32498, 26718, 22204, 18887, 14901, 12599, 11292, 10072, 8902, 8654, 7833, 7093, 7025, 6640, 6327, 6385, 6163",6,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,False,2.0716900549115316,False
"723, 771, 853, 1089, 1253, 1466, 2164, 3069, 4700, 5532, 6522, 7113, 7724, 7183, 7007, 6601, 6446, 6374, 6038, 6791, 7568, 7708, 8167, 8142, 8717, 8849, 8824, 8951, 8642, 8647, 9121, 9400, 9632, 10083, 10109, 10168, 10526, 10357, 10370, 10075, 9687, 8996, 8506, 8510, 8297",6,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6",3420L_GLUT1_647_WGA_594_0001,3420,L,False,2.0716900549115316,False
