mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.742305751765893,False,,,,70.29994954591321,18.118188698284563,,,56.30877901109991,,147.56029263370334,,0.3815984504102208,
1,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.564142194744977,False,,,,70.68418341061309,12.048428645028336,,,36.00695517774343,,156.98171045852652,,0.22937038380185198,
2,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.4267949666913395,False,,,,64.11073279052555,12.525684678016283,,,34.12627683197631,,133.41939304219096,,0.2557819823178526,
3,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.401639344262295,False,,,,68.88916607270136,15.42088382038489,,,31.995723449750535,,149.7147184604419,,0.21371127554305588,
4,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.5835573670973897,False,,,,61.55398491024196,18.42936432226173,,,61.84450611395368,,144.91969473592926,,0.42675018206908255,
5,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.6631451478202774,False,,,,67.25396692834474,14.232294972440288,,,44.629488892600634,,145.6335810923668,,0.3064505353630958,
6,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.709431825331907,False,,,,64.50040898508777,13.992386585289122,,,52.32366450638645,,149.53388284150256,,0.34991176255248163,
7,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.6379856290342225,False,,,,65.8998294970162,18.923821702594083,,,54.47052734137132,,144.45883570819632,,0.3770660830425118,
8,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,True,5.872971460548405,False,,,,64.96008207423989,13.732015171298887,,,45.32655599079774,,144.61711123546604,,0.3134245706028307,
9,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.5493046776232617,False,,,,69.81036662452593,37.1472819216182,,,96.11061946902653,,147.0219131900548,,0.6537162888418179,
10,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7.5,Het,Control,30,False,3.431702544031311,False,,,,71.09784735812133,27.554207436399217,,,75.2504892367906,,146.07553816046968,,0.5151477802814938,
11,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.001595850787951,False,,,,32.16876122082586,17.04568122880511,,,80.3379214043487,,106.64432475563535,,0.7533258013348099,
12,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.482136347065257,False,,,,37.07965730951513,7.50674444039373,,,52.44094057601167,,121.8800583302953,,0.43026678272418095,
14,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.779022097790221,False,,,,63.991100889911,19.182081791820817,,,66.66533346665334,,153.65503449655037,,0.433863645828995,
15,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.431237721021611,False,,,,59.423379174852656,9.398428290766208,,,47.57721021611002,,149.10864440078583,,0.31907747808522946,
16,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,True,5.1620183095592935,False,,,,68.58420268256334,8.334894613583138,,,31.95720672769853,,168.49159037683626,,0.18966647923629495,
17,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.02858958068615,False,,,,89.38087674714104,16.944885641677256,,,47.31400889453621,,187.44822109275728,,0.2524110851450718,
18,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.114631493064999,False,,,,88.27250475931464,10.729942888224096,,,26.737965732934462,,185.16820777808,,0.1443982531006582,
19,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.596331540477175,False,,,,80.94828299544889,10.757964418700869,,,26.415115156530135,,166.4519376637705,,0.15869514964666934,
20,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,3.8536519386834986,False,,,,77.65482416591523,11.37556357078449,,,35.83552750225429,,164.25671776375114,,0.21816780458133944,
21,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,4.5361387446078,False,,,,74.58878422396339,12.6111453473017,,,33.368606391407695,,152.9050972796901,,0.21823083065942983,
22,0.15,3985R_GLUT1647_WGA594_0001.nd2,3985,F,R,30,Het,Experimental,30,False,3.7457848647235656,False,,,,81.19396157365051,14.454973206116849,,,44.727748006796496,,166.00222193177365,,0.2694406586026267,
