mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,8.132075471698114,False,4.2,1135.754716981132,549.9745283018867,273.7424528301887,183.94905660377358,407.45566037735847,57.64433962264151,530.2066037735849,133.57830188679245,743.1981132075472,818.816037735849,0.7134122037598852,0.1631359129898784
1,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,9.11111111111111,False,5.85,1384.0687382297554,607.9416195856875,335.59792843691145,165.59604519774012,161.5894538606403,25.758003766478343,490.86064030131826,64.00564971751412,911.2551789077213,340.728813559322,0.5386643079380792,0.18784924306488252
2,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,True,73.20779639175258,False,4.6499999999999995,986.3527706185566,450.9175257731959,270.61050257731955,129.96423969072166,260.572487113402,40.02770618556701,384.2980025773196,112.88466494845362,719.0869845360826,545.8237757731958,0.5344249177660316,0.20681522124708648
3,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,9.210884353741497,False,3.9,993.3537414965984,375.8352229780801,320.21390778533635,132.9992441421013,282.848828420257,46.21768707482993,349.6492819349962,128.0793650793651,815.5857898715041,594.8133030990174,0.42870938444143764,0.21532700161893314
4,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,8.325358851674642,False,4.35,1022.2258373205741,352.5301435406699,274.3741626794258,112.57511961722486,297.33875598086127,41.17799043062201,332.36267942583726,99.27655502392342,753.4966507177033,603.580861244019,0.4410937714311839,0.16447929581350218
5,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,11.394123606889565,False,4.05,1056.565856129686,498.33029381965554,370.8966565349544,197.46859169199598,236.40070921985816,38.25785207700101,507.5096251266464,108.85460992907802,879.8318135764946,521.5759878419452,0.5768257265711185,0.20870326178064885
6,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,6.3710217755443885,False,4.2,702.36013400335,435.3450586264657,272.05527638190955,98.66666666666666,239.61892797319933,66.62730318257957,313.31658291457285,165.36264656616416,647.1155778894472,435.5460636515913,0.48417406970242904,0.3796674114783037
7,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,8.994514285714287,False,4.2,822.4098285714285,354.64982857142854,346.79794285714286,159.66514285714288,208.80502857142858,34.93508571428571,387.8411428571429,89.25942857142857,769.2233142857143,434.56662857142857,0.504198372116795,0.20539871840793508
8,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,7.061449579831932,False,1.95,470.4750525210084,319.6662289915966,306.04332983193274,147.06276260504205,219.15546218487395,150.9968487394958,402.8794642857143,382.0023634453782,703.250787815126,521.3873424369748,0.5728816394751415,0.7326652036850215
9,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,8.119047619047619,False,4.6499999999999995,893.3930202217872,472.4680365296804,310.37997390737115,179.87769080234833,238.04240052185258,32.724396607958255,483.89171559034577,81.8160469667319,730.3623613829093,476.01337247227656,0.6625364903444886,0.17187762297895726
10,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,7.59562109025916,False,4.8,959.7605004468276,473.8176943699732,349.2024128686327,208.38025022341378,193.20330652368185,29.06478999106345,525.0192135835567,75.10545129579981,802.1443252904379,412.478999106345,0.6545196382128109,0.1820830914022757
11,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,True,67.1233314532807,False,4.5,1042.6931754089114,722.6388418875729,326.0744500846024,246.3299492385787,215.05696559503667,36.88118067305884,707.1972175220906,104.73152848279753,816.6888512878361,461.73434856175976,0.865932253644594,0.22682204347374657
12,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,True,40.58677298311444,False,4.5,1107.938789868668,490.9939024390244,263.0750469043152,123.39516885553472,283.80534709193245,39.78330206378987,422.79549718574106,102.69793621013135,765.8327861163227,589.0968574108817,0.5520728608784352,0.1743311561047793
13,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,8.199482609945386,False,4.95,1058.2862891635525,308.39177924691006,337.0994538660535,100.47628628916355,265.28169014084506,31.794481172750793,278.97326818051164,80.12216154067261,808.8137395803392,566.2989364759989,0.34491657909429135,0.14148386369796473
14,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,8.717475192943771,False,3.5999999999999996,1149.1678610804852,374.39691289966925,450.0529217199559,195.94818081587653,308.88699007717753,59.273153252480704,439.62238147739805,149.91786108048515,1100.1471885336273,643.4476295479602,0.39960324042037076,0.23299155082101491
15,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,7.463508569227806,False,4.5,886.5388022337762,720.8709801656075,295.9326015790487,180.27768149431927,216.8157134604275,51.17812439822839,614.4440593106104,137.60023108030043,717.0121317157711,457.0288850375506,0.8569507155203624,0.301075567836363
16,0.15,3920L_GLUT1_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,9.230478589420654,False,4.95,1040.6847187237615,460.12678421494536,287.8702770780856,113.5671704450042,254.1435768261965,40.358942065491185,374.3396305625525,103.43324937027707,762.4945424013433,525.4617968094037,0.49094073432137,0.1968425678104902
