mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
1,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,5.446462353386304,False,3.9,437.9322739311388,206.5554294362467,141.61899356791525,36.7884979190314,122.37722285281878,32.95875898600076,150.90995081346955,87.11199394627317,379.69580022701473,253.59477866061292,0.3974496181502208,0.3435086258729938
2,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,6.662004662004662,False,5.4,437.6779886779887,123.30203130203128,132.65101565101563,25.67066267066267,94.27339327339328,18.1978021978022,92.08025308025309,37.77322677322677,336.32900432900425,186.968031968032,0.273780292199177,0.2020304026074643
3,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,6.766388557806913,False,3.75,435.4098132697656,223.8663090981327,129.00268176400476,35.85617798967024,126.37673818037348,34.12276519666269,176.0683353198252,82.14441795788638,383.88309495431065,247.7834723877632,0.4586509216843233,0.331516937616147
4,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,True,11.871682386488263,False,4.05,540.5382759377056,368.2151787672735,158.42487387584998,41.90458433867076,141.00131607808729,36.67229655626234,207.30840096512392,132.0710682167142,462.13270454046943,290.3470059223514,0.4485906297656752,0.4548731880225913
5,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,6.038654470345235,False,4.65,428.6943051047506,284.6538802006492,121.97462378282678,35.110947182059604,122.34080849808204,39.28622012393036,161.87400413101213,110.25051637651224,323.81853053998225,244.2699911478312,0.4998911083349053,0.4513469536656637
6,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,5.695712309820194,False,3.45,356.0874135546335,162.5159059474412,131.02268326417703,43.34218533886584,126.5615491009682,32.43181189488244,155.98699861687413,70.05532503457815,341.9643153526971,241.4979253112033,0.4561499303106857,0.2900866537230173
7,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,7.086294905133391,False,,,,144.71742271019937,43.5481074833863,,,186.80082827699127,,379.7267649041703,,0.4919348477427795,
8,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,6.299402431485679,False,4.35,502.8835771687616,307.15866474345773,140.30249330311148,43.20379146919431,128.5658355656295,34.72573665773748,190.21574283948075,104.39954667216156,382.6855553266021,265.297960024727,0.4970549324160969,0.3935180906118955
9,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,6.52389020670959,False,3.15,354.21043713995266,216.6631650288038,143.33734327346662,41.69874618773297,146.70298203998644,42.54185022026432,171.28786851914606,122.01863774991529,349.23009149440867,283.3407319552694,0.4904728220474336,0.4306427703065939
10,0.15,3963L_GLUT3_WGA594_0001.nd2,3963,M,L,9.3,Het,Control,0,False,5.31365998515219,False,4.95,586.8901262063846,200.5007423904974,246.6863400148478,49.69784706755753,120.33704528582034,28.547141796585,157.5541945063103,65.37899034892354,568.6347438752784,248.1417965850037,0.2770745125993699,0.2634743168973843
