mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3723L_GLUT1_WGA594_0001.nd2,3723,F,L,14.7,Homo,Control,0,True,15.616216216216216,False,,,,,,208.36049896049897,12.870686070686071,,26.790436590436585,,407.46029106029096,,0.06574980968261387
1,0.15,3723L_GLUT1_WGA594_0001.nd2,3723,F,L,14.7,Homo,Control,0,True,21.524537922243468,False,,,,,,210.91714467813892,18.87444231994901,,37.664754620777565,,368.0898661567877,,0.10232488879423342
2,0.15,3723L_GLUT1_WGA594_0001.nd2,3723,F,L,14.7,Homo,Control,0,True,26.651416122004356,False,2.25,297.41721132897607,19.091503267973856,179.1525054466231,12.982570806100219,154.4139433551198,11.587145969498911,26.149237472766888,23.74291938997822,398.8562091503268,319.97821350762524,0.0655605626109518,0.07420167495063665
3,0.15,3723L_GLUT1_WGA594_0001.nd2,3723,F,L,14.7,Homo,Control,0,True,15.856915317228564,False,,,,,,376.4815503052828,30.188478895672954,,112.7539155826918,,884.9564640297318,,0.1274118221242843
5,0.15,3723L_GLUT1_WGA594_0001.nd2,3723,F,L,14.7,Homo,Control,0,True,10.854937697600892,False,,,,,,243.4294216105635,14.336804909801005,,28.409150083689788,,511.53449879114754,,0.055537114604833036
6,0.15,3723L_GLUT1_WGA594_0001.nd2,3723,F,L,14.7,Homo,Control,0,True,13.834115805946793,False,4.05,380.7097026604069,59.746087636932714,108.85211267605634,17.789123630672925,169.77112676056336,15.887715179968701,45.894366197183096,34.23513302034429,251.6044600938967,325.1909233176839,0.1824068070178712,0.10527702517360694
7,0.15,3723L_GLUT1_WGA594_0002.nd2,3723,F,L,14.7,Homo,Control,0,True,15.323249783923941,False,5.3999999999999995,495.67286084701817,43.96326707000865,96.54235090751945,11.006914433880725,171.66248919619704,14.208729472774417,22.840535868625754,28.908815903197926,220.67718236819363,334.53068280034574,0.10350202781960922,0.08641603712162706
8,0.15,3723L_GLUT1_WGA594_0002.nd2,3723,F,L,14.7,Homo,Control,0,True,19.343648208469055,False,2.6999999999999997,1493.71661237785,137.84853420195438,651.9560260586319,57.92616720955484,737.3235613463627,81.5114006514658,133.5727470141151,157.46796959826278,1521.5021715526602,1513.5271444082518,0.08779004690989496,0.10404040005495144
9,0.15,3723L_GLUT1_WGA594_0002.nd2,3723,F,L,14.7,Homo,Control,0,True,17.84320030262909,False,3.15,473.76451673917154,71.58804615093626,161.6453565348969,19.527142046529224,268.4458104785322,35.622091923586154,50.74465670512578,72.83222999810857,379.7032343484018,504.82371855494614,0.13364294036685592,0.14427259916905302
10,0.15,3723L_GLUT1_WGA594_0002.nd2,3723,F,L,14.7,Homo,Control,0,True,15.567664670658683,False,4.8,726.6335329341317,132.51616766467066,159.23353293413174,16.34011976047904,286.2125748502994,61.68023952095808,40.276646706586824,134.16586826347307,384.08982035928136,583.4922155688623,0.1048625726891477,0.22993600374371942
