mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,12.125443262411348,False,,,,,,252.6994680851064,40.56959219858156,,95.0616134751773,,509.36037234042556,,0.1866293858675835
3,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,12.397896879240163,False,,,,,,209.1231343283582,25.099389416553596,,57.452849389416556,,430.07055630936225,,0.13358935771480496
4,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,13.301000769822942,False,,,,,,274.07698229407237,31.408391070053888,,73.48190916089298,,541.2844495765974,,0.13575470202103881
10,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,13.959084406294707,False,,,,,,269.0998569384836,46.78082975679542,,105.46094420600858,,538.1456366237483,,0.19597101050127627
11,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,True,15.137751700226698,False,,,,,,182.6163488465129,23.917322309641282,,57.42685691425523,,389.4092545672757,,0.14747173119465234
12,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,12.98498882146279,False,,,,,,,,,,,,,
21,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,11.388380421806605,False,,,,,,130.95901313171507,19.26343016315161,,48.923199363310786,,290.6597692001592,,0.168317753426758
27,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,14.37583395107487,False,,,,,,258.3743513713862,40.46330615270571,,95.92809488510008,,525.9688658265381,,0.1823835993302628
43,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,12.32788271778968,False,,,,,,212.8111079785735,36.101776148858185,,87.41838173104031,,425.52776994643364,,0.20543519813535255
55,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,13.937677053824363,False,3.3,1331.0934844192636,131.45042492917847,81.5014164305949,13.745042492917847,459.54957507082156,42.861189801699716,89.07082152974505,89.87535410764872,810.3456090651558,962.4645892351276,0.10991707801378771,0.09338042678440027
69,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,13.861334718254998,False,,,,,,241.47598026486625,29.250843936639832,,69.11529472864191,,477.3775642690209,,0.14478119606327527
70,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,True,45.448175182481755,False,,,,,,209.92248175182482,25.003503649635036,,57.385109489051096,,420.41474452554746,,0.1364964246289986
72,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,11.560331825037707,False,,,,,,146.74937154348916,19.747109100050277,,46.143539467068884,,304.7958773252891,,0.15139161287874917
78,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,True,42.26979716587941,False,,,,,,261.2089469297027,30.577104751319812,,70.793275909975,,498.7574326201723,,0.1419392900834973
83,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,True,19.667147667147667,False,,,,,,,,,,,,,
84,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,11.637770137524559,False,,,,,,171.43222003929276,22.82563850687623,,52.17657170923379,,342.313605108055,,0.15242330696369397
88,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,True,18.228930817610063,False,,,,,,175.69937106918238,23.968134171907757,,60.67044025157232,,376.46457023060793,,0.16115843308815997
91,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,9.18542250700841,False,,,,,,127.30316379655588,17.458149779735685,,40.56147376852223,,283.8097717260713,,0.14291781964319228
93,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,11.89100026392188,False,,,,,,204.83847980997626,25.860913169701767,,59.89654262338348,,407.6357878068091,,0.14693641828074785
97,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,13.743583706145515,False,,,,273.1104308923946,39.443607252178005,,,76.89098186955499,,567.1377442900871,,0.13557726080425672,
98,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,9.636492220650636,False,,,,238.86704384724186,46.64780763790665,,,77.18387553041018,,479.2970297029703,,0.16103558075092292,
100,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,13.343437945791726,False,,,,,,,,,,,,,
102,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,10.433103448275862,False,,,,,,156.28137931034482,17.427586206896553,,34.84689655172414,,306.95862068965516,,0.11352310768608598
105,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,True,14.605357946870779,False,,,,,,411.82170193606487,49.59522737505628,,105.72354795137326,,851.7350292660963,,0.12412727470240449
116,0.15,3963L_GLUT1_WGA594_0002.nd2,3963,M,L,9.3,Het,Control,0,False,11.059766763848396,False,,,,,,,,,,,,,
119,0.15,3963L_GLUT1_WGA594_0003.nd2,3963,M,L,9.3,Het,Control,0,False,14.145,False,,,,,,113.03972222222222,4.519444444444445,,9.711111111111112,,226.15749999999997,,0.04293959347406614
120,0.15,3963L_GLUT1_WGA594_0003.nd2,3963,M,L,9.3,Het,Control,0,False,6.7646838757949865,False,,,,,,219.225215114104,9.014964459408905,,19.927422371866815,,437.6752712308268,,0.04553015370465661
124,0.15,3963L_GLUT1_WGA594_0003.nd2,3963,M,L,9.3,Het,Control,0,False,6.379578606158833,False,,,,,,179.60615883306323,6.040518638573745,,13.443111831442462,,367.270340356564,,0.036602770096793635
130,0.15,3963L_GLUT1_WGA594_0003.nd2,3963,M,L,9.3,Het,Control,0,False,6.8732476635514015,False,,,,,,230.10105140186917,9.351927570093457,,20.429030373831775,,452.09929906542055,,0.04518704279361339
131,0.15,3963L_GLUT1_WGA594_0003.nd2,3963,M,L,9.3,Het,Control,0,False,7.096501630595909,False,,,,,,172.35873109991107,6.3817076786243705,,13.814408538393124,,348.05366142899493,,0.03969045601093712
132,0.15,3963L_GLUT1_WGA594_0003.nd2,3963,M,L,9.3,Het,Control,0,False,6.5259222333001,False,,,,,,117.48180458624128,4.72382851445663,,11.004735792622133,,247.9673479561316,,0.044379777754323536
