mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,12.036290322580646,False,4.35,2843.854502688172,733.6337365591397,623.5793010752689,113.85819892473118,752.5725806451611,94.29637096774195,586.3175403225806,208.5154569892473,2054.510080645161,1557.847110215054,0.2853807074718583,0.1338484730767082
1,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,12.16795466254508,False,5.1,3798.472694487378,1188.6540443070583,697.6756826378155,127.5164863472437,1007.6651210716126,140.61154044307057,655.7851622874806,373.27099433281825,2280.5517774343125,2046.0432766615145,0.2875554805535957,0.18243553232259907
2,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,25.972927241962775,False,4.05,3314.336040609137,781.3370558375634,838.727241962775,159.07343485617596,1044.1884940778343,136.7218274111675,579.5939086294416,340.482233502538,2291.2426395939087,2273.2010152284265,0.2529605108659145,0.1497809613939153
3,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,11.286795626576955,False,3.75,2840.1589571068125,691.2410989627137,749.583403420241,123.6560134566863,1012.103448275862,174.73423044575273,523.5982618446874,364.96944210821425,2212.057471264368,2030.442668909448,0.23670192508398485,0.1797487058840423
4,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,11.194115399312189,False,4.6499999999999995,2548.9709591134892,452.3167749331294,696.4627435995415,54.07374856706152,506.0756591517004,111.47153228888038,219.54795567443634,245.39052350019105,2122.5670615208255,1043.0940007642341,0.10343510914426872,0.23525254993356592
5,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,11.83879173290938,False,3.0,2695.063751987281,635.5739268680445,770.0739268680445,126.42368839427661,1153.9656597774247,166.6193958664547,536.3392686804452,392.27774244833074,2354.7777424483306,2264.3255961844197,0.22776640827375824,0.1732426392694372
6,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,10.779129984464008,False,4.2,3598.996116002071,1065.0642154324185,801.9893837389955,190.33039875712063,1287.3915069911964,162.16468151216986,738.5761263593992,407.79052304505444,2146.036768513724,2735.7105126877264,0.3441581883384567,0.1490620155728453
7,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,11.8389731621937,False,4.6499999999999995,3490.4763710618436,761.2992998833139,854.9749124854143,128.99270711785297,803.0105017502917,124.53267211201866,530.2415402567094,277.2946324387398,2566.286756126021,1660.7710035005834,0.20661819611193566,0.16696740962736975
8,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,10.906235912847484,False,3.3,3004.855146506386,648.2464312546958,606.8390683696468,87.87377911344853,1214.6518407212625,164.86070623591286,483.0574004507888,368.44012021036815,2170.2787377911345,2437.160781367393,0.22257850664031975,0.1511759597590649
9,0.15,3920L_GLUT3_WGA594_0001.nd2,3920,M,L,10.5,Homo,Control,0,False,11.7926267281106,False,4.5,3352.0291858678956,1008.126574500768,733.8344086021505,149.93824884792627,833.0304147465438,126.74162826420891,716.7450076804917,298.458064516129,2247.9493087557603,1793.3010752688174,0.31884393695568247,0.16642942372149636
