mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
1,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.439714867617108,False,3.0,2044.1535641547862,109.19429735234215,597.5354378818738,16.931466395112018,1285.0792260692465,43.16507128309572,67.25600814663952,102.03482688391037,1636.5567209775968,2290.211507128309,0.04109604469221461,0.044552578033219124
2,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.55564451561249,False,3.15,2184.508566853483,120.40352281825461,557.6653322658126,16.896076861489192,1349.9284227381904,42.995996797437954,70.74907926341072,103.42001601281025,1675.9527622097676,2341.02193755004,0.04221424425478857,0.04417729469081475
3,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,True,26.53731871241599,False,3.15,2162.5413866289355,113.82684824902724,559.9785992217899,16.206579412805095,1347.0196321188537,44.76158471878316,68.08277325787054,100.9276618323311,1644.7265652635303,2351.233639900955,0.04139458478738794,0.04292540737745767
4,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.447058823529412,False,2.6999999999999997,1490.7967545638944,100.5740365111562,352.9123732251521,26.212170385395538,1330.3740365111562,50.096551724137925,80.75578093306288,107.77484787018257,961.7277890466532,2347.084787018256,0.08396947852896598,0.045918600157218895
6,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.39032006245121,False,3.0,2072.4145199063228,121.83086130627115,576.8691126723913,18.668227946916474,1329.3989071038252,41.965912047879264,76.56023939630496,105.9047619047619,1581.328649492584,2397.353890189956,0.04841513459006234,0.044175689846262314
7,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,7.388656924147529,False,,,,1028.3013221990257,45.52870563674322,,,87.12821851078635,,2210.982602644398,,0.039407012251737546,
8,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.517241379310345,False,3.0,1888.8050202839756,110.20157200811359,665.9918864097363,22.72210953346856,1187.432555780933,42.26597363083164,75.79994929006085,99.38970588235291,1569.108519269777,2173.120943204868,0.04830765263153132,0.04573592932926011
9,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.347999115631218,False,2.85,2062.813619279239,96.26398408136193,689.5843466725626,19.741764315719653,1337.3789520229936,45.90050851204953,67.74618615962858,99.11961087773601,1731.1392880831306,2440.785098386027,0.03913387364378005,0.040609724691976774
10,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.955550783766373,False,2.6999999999999997,1868.204423448572,74.63216663087825,606.4616706033927,16.372986901438694,1267.502684131415,41.8733089972085,55.79965643117886,84.82971870302771,1579.726003865149,2313.323384152888,0.03532236368500149,0.03667006493088788
11,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,5.860796374231143,False,,,,1373.1388798964063,45.988345742958884,,,84.85076076400131,,2601.5066364519266,,0.03261600780681663,
13,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.559564207894267,False,,,,1237.5527772816574,50.381496695838536,,,93.0605465261654,,2519.8571173423825,,0.036930882265385566,
14,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.8783269961977185,False,2.85,2318.38897338403,72.6422053231939,631.9429657794676,13.247908745247148,1295.9703422053233,39.451711026615975,46.7574144486692,82.47376425855514,1728.6376425855512,2625.7817490494303,0.02704870777818617,0.03140922290605904
15,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,7.109649970992071,False,2.85,2149.4780506671823,102.58847418294334,636.7772191065558,19.18410365499903,1188.538580545349,41.77760587894025,71.30961129375363,97.62753819377296,1726.8363952813768,2344.1717269386972,0.041294943451857344,0.04164692248091687
18,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,7.188067647979956,False,2.6999999999999997,2324.9599123081744,67.74804259317257,521.9735358596931,13.777168806764799,1354.0447854682116,33.78077043532728,53.949420607579086,69.07344190416536,1762.84732226746,2671.74444096461,0.030603569535554966,0.025853311733373345
19,0.15,3919L_GLUT3_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,True,16.712465769734493,False,2.6999999999999997,2430.9599952375283,102.59709489224906,508.85807834265984,15.314799380878675,1226.2437194904153,39.24193356351947,71.36992499107036,97.94213596856768,1814.2202643171806,2591.8083105131564,0.03933917308432883,0.03778911255561796
