mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.5852941176470585,False,,,,168.58823529411765,3.164705882352941,,,5.21764705882353,,315.55588235294124,,0.01653477989355852,
1,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.003521126760563,False,,,,,,,,,,,,,
2,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.355777460770328,False,,,,,,,,,,,,,
3,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.407442521924627,False,,,,,,,,,,,,,
4,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.090420168067227,False,,,,,,,,,,,,,
5,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.25633089476646,False,,,,,,,,,,,,,
6,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.356179567707371,False,,,,,,,,,,,,,
7,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,5.864586488942745,False,,,,154.6810057558316,1.889124507724932,,,3.6101181460163585,,294.438352014541,,0.012261032305458872,
8,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,5.922485800200468,False,,,,,,,,,,,,,
9,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,5.717860647693818,False,,,,,,100.9170755642787,1.2320902845927382,,2.4072620215897937,,209.34592737978411,,0.01149896753053461
10,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,7.357849196538937,False,,,,,,148.3794808405439,1.6282447466007417,,3.3457972805933247,,298.5562422744129,,0.011206589603033962
11,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.495991778006166,False,,,,,,,,,,,,,
12,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.1819221967963385,False,,,,147.13478260869564,1.8693363844393591,,,3.2958810068649886,,291.8926773455377,,0.01129141380605235,
13,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.4636575545666455,False,,,,163.53295189658826,1.9805043441407075,,,3.675990675990676,,317.08688281415556,,0.011593007706172356,
14,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,5.428483732351135,False,,,,80.93615715162676,4.373235113566605,,,13.246163290362185,,319.78084714548805,,0.041422628680246404,
15,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.435766423357665,False,,,,,,,,,,,,,
17,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.25713227121156,False,,,,,,114.40755835494627,1.2689885142645425,,2.3668025194516487,,231.04112634309,,0.010244074537348857
18,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.928187134502924,False,,,,,,119.83298245614034,1.4273684210526318,,2.6327485380116955,,241.7578947368421,,0.01089002094793012
19,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.34691771988651,False,,,,52.33582667010575,1.3819963889605367,,,6.061129739489296,,286.9362909466082,,0.0211236080298296,
20,0.15,3919L_GLUT1647_WGA594_0001.nd2,3919,M,L,11.1,Homo,Control,0,False,6.10814859197124,False,,,,162.07549430796885,2.3529059316956262,,,4.08478130617136,,304.97633313361297,,0.013393764900379267,
