filename,z_min,z_max,rip_cells,sex,eye,time_min,djid,age,genotype,treatment
2007R_GLUT1_647_WGA_594_0002.nd2,26,67,"[80, 76, 77, 95, 90, 64, 73, 84, 56, 60, 69, 81, 89, 94, 100, 87, 96, 85, 74, 75, 58, 51, 45]",M,R,5,2007,5,Homo,Control
3203R_GLUT1_647_WGA_594_0002.nd2,17,39,"[36, 25, 35, 31, 30, 46, 49, 60, 61, 68, 66, 48, 39, 43, 27, 24]",M,R,5,3203,5,WT,Control
