DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3607,het,R,Male,3.0,0,Light Flicker,0,4.8,60.0,250.0,112.0,183975.0,67070.0,30.0,1166.0,68.0,149536.0,498081.0,103018.0,3607R_GLUT1_WGA_0003
3607,het,R,Male,3.0,1,Light Flicker,0,3.9,60.0,283.0,274.0,148336.0,79705.0,117.0,1167.0,216.0,123137.0,398749.0,129647.0,3607R_GLUT1_WGA_0003
3607,het,R,Male,3.0,0,Light Flicker,0,5.4,60.0,138.0,10.0,126360.0,37691.0,34.0,627.0,6.0,100812.0,343111.0,40208.0,3607R_GLUT1_WGA_0003
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,113.0,,59245.0,,5.0,,,41296.0,,,3607R_GLUT1_WGA_0003
3607,het,R,Male,3.0,1,Light Flicker,0,,60.0,232.0,,117038.0,,260.0,,,162582.0,,,3607R_GLUT1_WGA_0003
3608,het,R,Male,3.0,1,Light Flicker,0,1.7999999999999998,30.0,36476.0,40930.0,949641.0,512050.0,21150.0,105026.0,34515.0,786300.0,1245664.0,678078.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,90262.0,112628.0,2092316.0,1168562.0,50131.0,296923.0,100598.0,1447250.0,3121577.0,1540098.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.1,30.0,168971.0,78248.0,1552644.0,648330.0,102460.0,354793.0,75417.0,1092159.0,2286165.0,912915.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,1,Light Flicker,0,1.7999999999999998,30.0,168697.0,244661.0,3679043.0,1734968.0,89152.0,540792.0,220816.0,2479537.0,5284521.0,2402247.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.7,30.0,126260.0,50189.0,1093840.0,300402.0,71073.0,358462.0,47408.0,709770.0,1571856.0,411609.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,59800.0,57484.0,1320455.0,718111.0,33608.0,188446.0,45835.0,1045542.0,1797719.0,992137.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,102812.0,93311.0,1788159.0,1050789.0,60996.0,299215.0,78655.0,1450567.0,2597105.0,1349250.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.7999999999999998,30.0,82660.0,73926.0,1562943.0,745734.0,48093.0,216651.0,64851.0,1194939.0,2057245.0,1055311.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.7,30.0,29267.0,18686.0,369953.0,85556.0,16613.0,106100.0,17651.0,243329.0,483301.0,118722.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.7999999999999998,30.0,110332.0,74994.0,1283116.0,690478.0,76671.0,247466.0,64545.0,1159374.0,1646891.0,970828.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.85,30.0,79055.0,64687.0,1434851.0,482273.0,40248.0,382206.0,56600.0,938985.0,2413149.0,654239.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,,30.0,202879.0,,2191806.0,,120230.0,,,1731443.0,,,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,46934.0,41493.0,1308604.0,435310.0,30078.0,67407.0,77039.0,999685.0,1558851.0,581926.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,1,Light Flicker,0,1.95,30.0,476734.0,184680.0,3061191.0,1221832.0,277792.0,807772.0,192359.0,2312632.0,3915150.0,1758596.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30.0,55598.0,66416.0,943541.0,430944.0,31189.0,223808.0,54513.0,694296.0,1318489.0,601070.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,1,Light Flicker,0,1.7999999999999998,30.0,187877.0,149487.0,2541208.0,1394103.0,107720.0,450712.0,124338.0,1963164.0,3485012.0,1795001.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,76101.0,65491.0,1206781.0,598636.0,46846.0,212609.0,54898.0,963292.0,1634190.0,795738.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30.0,49775.0,46187.0,1178779.0,514971.0,28891.0,163369.0,46221.0,948833.0,1618444.0,694969.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.65,30.0,148215.0,186648.0,2039740.0,1306123.0,87953.0,408244.0,159834.0,1547406.0,2843506.0,1728045.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.7,30.0,45052.0,36836.0,1326341.0,477852.0,27299.0,174480.0,36508.0,993059.0,1995237.0,680202.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30.0,47696.0,42822.0,1012479.0,477411.0,27319.0,181971.0,38585.0,776631.0,1594998.0,657274.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.1,30.0,10558.0,11571.0,231092.0,147113.0,6094.0,35465.0,11248.0,203666.0,335466.0,195455.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,1,Light Flicker,0,1.95,30.0,139954.0,119199.0,1565384.0,778772.0,84214.0,357036.0,100944.0,1172026.0,2189828.0,1090035.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30.0,92533.0,115580.0,2110114.0,838931.0,48205.0,376494.0,102053.0,1467328.0,3347661.0,1219565.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.7,30.0,67433.0,75069.0,1540559.0,676262.0,34142.0,343728.0,76164.0,1081833.0,2656053.0,959497.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.7999999999999998,30.0,80224.0,105831.0,1835233.0,1097864.0,43946.0,269423.0,95654.0,1483326.0,2650065.0,1459495.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30.0,50847.0,22224.0,668414.0,325481.0,39567.0,53119.0,38395.0,524572.0,994821.0,435196.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,1,Light Flicker,0,1.95,30.0,169631.0,115078.0,1634442.0,1019570.0,117513.0,371935.0,112132.0,1478903.0,2313138.0,1415731.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,57792.0,63714.0,1181505.0,640884.0,36484.0,169170.0,64296.0,1013712.0,1669041.0,877165.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30.0,48758.0,42586.0,1181370.0,478199.0,26333.0,201866.0,40604.0,849487.0,1774797.0,670852.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30.0,67645.0,90969.0,1413382.0,543922.0,38225.0,301576.0,75690.0,1175991.0,1928384.0,763879.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.1,30.0,164216.0,72258.0,1325360.0,629988.0,104387.0,335601.0,65597.0,1148303.0,1814793.0,879531.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,3.15,30.0,53587.0,24524.0,747778.0,220040.0,35003.0,149442.0,24373.0,628299.0,1068797.0,332618.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.7999999999999998,30.0,111684.0,139091.0,1882466.0,1047049.0,69069.0,364153.0,116320.0,1725091.0,2517616.0,1439162.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30.0,119378.0,67868.0,1419163.0,552979.0,75449.0,288989.0,66108.0,1124747.0,2149712.0,829126.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30.0,46202.0,40254.0,1373062.0,581807.0,33939.0,88553.0,48769.0,1024122.0,2116309.0,835762.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,1,Light Flicker,0,2.55,30.0,88196.0,89521.0,1504709.0,669511.0,53116.0,340636.0,83825.0,1166621.0,2554145.0,972494.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,1.95,30.0,178330.0,78378.0,981486.0,509010.0,117911.0,319094.0,77863.0,823060.0,1358031.0,718719.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30.0,211693.0,142894.0,2644044.0,1153276.0,121450.0,659196.0,176661.0,2071997.0,4855179.0,1763640.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30.0,84521.0,54889.0,1323920.0,528579.0,49577.0,260042.0,54050.0,959012.0,2185988.0,806056.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30.0,72831.0,57107.0,1371740.0,459411.0,42869.0,274968.0,52241.0,1008602.0,1959933.0,631959.0,3608R_GLUT1_WGA_0001
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30.0,47262.0,50537.0,801500.0,393343.0,28538.0,190758.0,48121.0,725583.0,1150562.0,600151.0,3608R_GLUT1_WGA_0001
