DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,119378,67868,1419163,644729,75449,288989,66108,1124747,2149712,829126
3608,het,R,Male,3.0,0,Light Flicker,0,5.7,30,41671,6658,1126582,172111,22569,174128,7928,907376,2862503,199002
3608,het,R,Male,3.0,1,Light Flicker,0,2.55,30,88557,89603,1506456,778526,53454,340905,83952,1167915,2557713,973932
3608,het,R,Male,3.0,0,Light Flicker,0,5.55,30,203116,4945,1201818,160206,136825,497781,5327,1003102,3116584,188709
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,237767,155564,3136597,1592233,136090,723106,192316,2460181,5771575,2024414
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,84521,54889,1323920,615019,49577,260042,54050,959012,2185988,806056
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,72836,57110,1371969,530575,42871,274998,52244,1008790,1960316,632017
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,50554,53221,866511,494137,30646,199415,51274,782793,1248554,641852
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,52717,53225,1106206,640267,30554,204620,56050,971423,1666721,791946
3608,het,R,Male,3.0,1,Light Flicker,0,2.25,30,109895,119799,1213580,668225,57020,456062,104243,849090,1886953,844064
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,96224,76494,1195023,540071,47894,342504,70606,852619,1837941,683674
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,77228,69140,1151992,553189,43517,253128,67073,955106,1536452,670650
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,81543,63048,1064341,519804,44304,285791,68383,767292,1706821,695849
3608,het,R,Male,3.0,0,Light Flicker,0,2.85,30,47318,37427,827377,301142,22314,194602,36088,580434,1246421,375554
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,71426,70513,1245655,604892,39214,306037,69151,896680,2027494,786679
3608,het,R,Male,3.0,0,Light Flicker,0,3.15,30,147209,68206,1240744,566242,96170,493231,65576,1028535,2306343,668568
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,86255,48610,832975,483130,51247,284581,51764,676654,1462004,607372
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,117695,101312,1241150,734136,68714,431728,93007,1054618,1834644,942112
3608,het,R,Male,3.0,0,Light Flicker,0,5.1,30,160286,8526,1872787,251363,85465,338650,11110,1437165,3816310,317085
