DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3603,het,L,Male,3.0,1,Light Flicker,0,4.05,90,8010,3582.0,157722,96152.0,1221,49037.0,2846.0,92664,476826.0,130042.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,23961,11637.0,376749,229983.0,5345,52563.0,15821.0,212640,698196.0,351236.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,10848,2024.0,134745,70879.0,3667,17687.0,3772.0,88480,276103.0,118790.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,17696,2826.0,127913,47588.0,4776,50475.0,2432.0,78490,242807.0,70777.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,16082,11329.0,285258,169273.0,3634,67886.0,13666.0,196231,628817.0,269204.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,16251,5566.0,145317,62795.0,4821,57911.0,3837.0,92245,247813.0,94027.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,,90,11748,,171302,,2552,,,97862,,,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.9,90,7202,5408.0,133970,70994.0,2020,27534.0,3749.0,90868,337143.0,103477.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,9511,8669.0,219808,115347.0,1757,49789.0,6836.0,137747,495620.0,152882.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,9012,6034.0,150354,68786.0,1483,55248.0,5184.0,100859,294874.0,98471.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,31330,12585.0,235983,146733.0,10193,100099.0,11434.0,139925,585686.0,222597.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,6524,1580.0,95099,44704.0,914,32887.0,1081.0,57070,248818.0,64009.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,14969,7749.0,145517,79066.0,4763,62401.0,5194.0,87392,307367.0,106849.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,13418,13967.0,175776,95630.0,2840,62157.0,12543.0,96939,374781.0,140403.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,24711,12471.0,345401,240676.0,5311,79633.0,14717.0,210222,928543.0,343236.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,14641,9799.0,206797,89797.0,3165,67089.0,8054.0,128292,501681.0,136352.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,,90,19473,,166294,,5452,,,97026,,,3603L_GLUT1_WGA_0001
