DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3604,homo,R,Male,2.8,0,Dark,0,4.95,30,2943,1789,621988,106018,726,25630,2418,340480,1556761,185133
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,2065,163,495253,192443,546,4988,125,193147,1138228,239214
3604,homo,R,Male,2.8,0,Dark,0,3.0,30,4780,2644,788777,215380,1609,16230,4070,396218,1116924,289042
3604,homo,R,Male,2.8,1,Dark,0,6.6,30,8686,113,616239,105587,3297,23481,120,381751,1671368,94361
3604,homo,R,Male,2.8,1,Dark,0,6.0,30,4097,797,643132,130380,961,20060,740,466222,2620436,118561
3604,homo,R,Male,2.8,0,Dark,0,3.9,30,365,202,92418,20706,95,832,275,62482,156083,28984
3604,homo,R,Male,2.8,1,Dark,0,6.8999999999999995,30,3281,1299,730021,224368,608,31267,357,463956,2438747,91162
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,2896,1057,511081,232284,611,12660,1791,190231,1140658,302090
3604,homo,R,Male,2.8,1,Dark,0,3.4499999999999997,30,6333,3703,946919,476034,1818,19732,6407,440390,1955196,594703
3604,homo,R,Male,2.8,1,Dark,0,3.75,30,5179,5161,574436,239081,1462,34059,6847,361652,1498875,306503
3604,homo,R,Male,2.8,1,Dark,0,4.8,30,1815,1288,256604,147469,585,7567,1660,185703,578617,187249
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,5594,6402,1264454,405458,1965,50971,8092,632804,2689888,537963
3604,homo,R,Male,2.8,1,Dark,0,4.5,30,6979,7520,854417,466369,1409,51860,9562,547945,2397690,625405
3604,homo,R,Male,2.8,1,Dark,0,7.35,30,3293,787,807398,153527,1069,25800,246,371674,1867433,61469
3604,homo,R,Male,2.8,0,Dark,0,3.75,30,4306,4354,558142,202203,1226,21356,6074,340525,1163667,261163
3604,homo,R,Male,2.8,1,Dark,0,2.85,30,8817,14034,1120199,683609,3238,40677,18103,777699,2150334,823095
3604,homo,R,Male,2.8,1,Dark,0,3.3,30,4880,4384,803304,231766,1192,21110,7309,438921,1463996,311137
3604,homo,R,Male,2.8,0,Dark,0,2.55,30,2287,3089,451237,168971,507,9823,4832,289762,776494,226005
3604,homo,R,Male,2.8,1,Dark,0,5.25,30,23806,2885,2877277,1116348,10685,47242,4701,2401745,10781305,1375917
3604,homo,R,Male,2.8,0,Dark,0,4.05,30,9907,2632,1030988,301130,3263,19176,3849,475929,1826245,388930
3604,homo,R,Male,2.8,1,Dark,0,5.55,30,6752,1324,726665,212849,2782,20920,1113,509222,1585287,302870
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,2307,429,277170,56070,567,6600,454,163854,289411,66205
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,10007,6805,1050621,558587,2433,77927,7526,746845,3004531,700155
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,5562,1284,702874,219403,1103,32547,961,447065,2124119,194336
3604,homo,R,Male,2.8,1,Dark,0,4.05,30,5893,2808,892733,384470,1470,26050,4781,490541,2165966,443536
3604,homo,R,Male,2.8,1,Dark,0,5.55,30,6489,2225,767552,217872,1885,29006,2662,535306,2020443,283081
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,4620,2680,840676,279251,1696,11089,4891,598181,1193427,381643
3604,homo,R,Male,2.8,1,Dark,0,6.1499999999999995,30,3315,566,514296,243759,656,17941,604,316345,1669145,238216
3604,homo,R,Male,2.8,1,Dark,0,4.5,30,9198,3737,1331045,724762,3361,19893,10081,936731,4021990,878513
3604,homo,R,Male,2.8,1,Dark,0,7.05,30,6866,1328,997839,242601,2536,50178,442,718240,2777297,98259
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,6602,11964,541140,340243,1816,28481,12159,356305,1089542,394442
3604,homo,R,Male,2.8,0,Dark,0,4.95,30,5462,403,538057,187668,2461,10143,1236,433654,1774528,250021
3604,homo,R,Male,2.8,1,Dark,0,4.05,30,2809,3091,380924,167068,463,20696,1928,218916,1016438,236266
3604,homo,R,Male,2.8,1,Dark,0,3.9,30,2008,13649,282442,466664,1671,30410,7105,423269,1409963,233951
3604,homo,R,Male,2.8,1,Dark,0,2.4,30,860,1907,72414,68843,463,3321,3726,100345,173216,124254
3604,homo,R,Male,2.8,0,Dark,0,4.35,30,4421,11135,494524,956302,2299,66618,3711,758445,2963325,396118
3604,homo,R,Male,2.8,0,Dark,0,4.5,30,553,12339,168725,321449,388,19306,16575,244472,806228,490497
3604,homo,R,Male,2.8,1,Dark,0,3.4499999999999997,30,2589,29708,613920,1381012,2564,43987,45719,941350,3165509,1862041
3604,homo,R,Male,2.8,1,Dark,0,3.9,30,1376,12301,305953,640237,1113,24425,19260,475272,1545462,839487
3604,homo,R,Male,2.8,1,Dark,0,3.15,30,1630,8912,307985,436956,1401,18912,11140,462497,998856,608787
3604,homo,R,Male,2.8,0,Dark,0,3.9,30,564,3747,136865,166601,466,9491,4929,201864,473548,249933
3604,homo,R,Male,2.8,0,Dark,0,4.6499999999999995,30,405,5375,132409,420355,189,11942,6943,138533,860176,606485
3604,homo,R,Male,2.8,0,Dark,0,4.2,30,864,10070,180324,365090,287,17738,11020,169903,884693,522509
3604,homo,R,Male,2.8,0,Dark,0,4.8,30,128,1216,97767,269535,80,4228,1460,79030,602315,438232
3604,homo,R,Male,2.8,0,Dark,0,2.85,30,240,1324,187107,349374,145,2093,1463,198154,652538,458074
3604,homo,R,Male,2.8,0,Dark,0,4.5,30,743,5622,129232,341715,383,13852,8187,136938,720933,501124
3604,homo,R,Male,2.8,0,Dark,0,3.0,30,185,395,83045,65366,254,1253,494,121841,218304,95435
3604,homo,R,Male,2.8,1,Dark,0,3.4499999999999997,30,1555,15438,340601,572645,1483,31572,25161,503419,1304941,817117
3604,homo,R,Male,2.8,1,Dark,0,3.3,30,1348,12013,341699,768652,1026,21189,24656,519172,1516252,1144529
3604,homo,R,Male,2.8,0,Dark,0,4.8,30,565,4923,201825,704375,441,16702,2308,313366,1452334,401801
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,3625,8207,248359,1162496,5022,46948,4324,470591,2677995,781507
3604,homo,R,Male,2.8,1,Dark,0,5.3999999999999995,30,5508,8009,397839,733135,5517,58392,2730,624523,2617554,296691
3604,homo,R,Male,2.8,1,Dark,0,6.45,30,1022,4941,219046,634182,427,34272,2085,143342,1973121,319723
3604,homo,R,Male,2.8,0,Dark,0,6.75,30,597,4586,130518,582043,141,30713,2017,32762,1676311,325589
3604,homo,R,Male,2.8,0,Dark,0,3.4499999999999997,30,48,7099,43666,296740,132,7365,12196,89976,453962,439478
3604,homo,R,Male,2.8,0,Dark,0,2.25,30,102,972,72090,48075,119,1293,1962,106373,138998,83773
3604,homo,R,Male,2.8,1,Dark,0,5.85,30,2871,8810,344413,1028138,1310,55122,4404,335846,2792939,669961
3604,homo,R,Male,2.8,1,Dark,0,5.7,30,3880,9040,343045,957073,2350,73984,4509,387700,2950377,638317
3604,homo,R,Male,2.8,1,Dark,0,5.85,30,1051,1659,75649,201553,892,16367,687,91083,606625,103874
3604,homo,R,Male,2.8,1,Dark,0,3.0,30,834,4597,240896,205599,760,13584,5497,316426,639576,338809
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,8286,14928,523594,1282429,9808,103270,6007,843531,3811193,649278
3604,homo,R,Male,2.8,1,Dark,0,4.35,30,3593,13919,351090,1183201,4152,48364,9229,564081,2131851,995871
3604,homo,R,Male,2.8,1,Dark,0,5.3999999999999995,30,145,2894,46223,194589,54,8176,2345,38181,383897,210658
3604,homo,R,Male,2.8,0,Dark,0,3.3,30,945,6482,219675,222643,496,11588,12326,146363,658663,305109
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,9270,21895,736956,1664518,9014,132996,11561,1119661,4193960,1129390
3604,homo,R,Male,2.8,0,Dark,0,4.95,30,584,2627,174501,376366,380,7835,1746,206641,858619,396360
3604,homo,R,Male,2.8,1,Dark,0,6.45,30,1140,5773,217550,553242,447,41810,1698,172874,2084336,220200
3604,homo,R,Male,2.8,0,Dark,0,5.55,30,2164,15410,339004,885973,1365,55030,11593,322193,2162677,768380
3604,homo,R,Male,2.8,1,Dark,0,3.0,30,3762,16631,295072,655643,3304,35882,27491,485222,1420801,1007576
3604,homo,R,Male,2.8,0,Dark,0,6.0,30,858,6492,234652,682004,520,33230,2404,249040,1910042,335528
3604,homo,R,Male,2.8,0,Dark,0,5.55,30,872,2999,138248,333871,522,18324,2014,112309,803285,321370
3604,homo,R,Male,2.8,0,Dark,0,7.05,30,432,3659,83944,343999,108,27717,1254,20767,1329775,147622
